username,text,reply_to,reply,pred_label,prob_confuso,prob_não,prob_sim
02bdrfb20,Meu marido não troca nem a fralda da minha filha com medo de machucar ela. Só nós podemos tocar na minha filha.,,32,não,0.026238348335027695,0.9267914295196533,0.046970244497060776
user4819908612014,"O meu marido troca,da banho...faz a parte dele.
Graças a Deus é um homem bom,de princípios",02bdrfb20,0,não,0.03127060830593109,0.9190263748168945,0.04970299080014229
ednabatista7932,sim mas as partes sensível só a gente msm nossas mãos é mas delicada,02bdrfb20,0,não,0.03861278295516968,0.8830903768539429,0.07829679548740387
jo_modafitness_,"A minha TB , só eu troco ela , debaixo dos meus olhos e de Deus 🥰",02bdrfb20,0,não,0.024865329265594482,0.9430792927742004,0.03205544501543045
02bdrfb20,"Sim, eu não entendo como tem mãe que troca bebé até em público. Se eu tenho visita, eu subo no quarto para trocar. Todo mundo vendo 😑😑",02bdrfb20,0,não,0.15484322607517242,0.7251511812210083,0.12000565975904465
jaquelinebarbos522,meu marido sempre foi um pai de bons princípios ele nunca deu banho nunca limpou nenhum dos dois ele fala para mim que é coisa de mãe,02bdrfb20,0,não,0.033025048673152924,0.9183858633041382,0.04858918488025665
luiza_0150,"pois tem mãe que também e maldosa e desgraçada,não e só homem",02bdrfb20,0,não,0.021781155839562416,0.9287254810333252,0.049493372440338135
anadesousa188,não troca de preguiçoso qye è....rs...,02bdrfb20,0,não,0.12383326888084412,0.745569109916687,0.13059765100479126
vih_macedo_oficial,mais o pai faz da vida dos filho/a esses q faz maldades ñ são filhos de Deus 🥺,02bdrfb20,0,não,0.03383006528019905,0.9255796670913696,0.040590301156044006
doceoutravessura,"Pode ser desculpa de priguisoso, o meu maravilhoso pai, trocou fraldas, deu banho, me ajudou tremendamente na minha recuperação pós parto.",02bdrfb20,0,não,0.022275501862168312,0.934671938419342,0.04305253177881241
brvoltei,Suspeitar do próprio marido por isso existe divórcio,02bdrfb20,0,não,0.10658206045627594,0.6173859238624573,0.276032030582428
dinarodriguescost,"O que me deixa mais triste e revoltada, é um pai fazer uma monstruosidade dessa com uma filha......nem sei o que dizer 😭",,7,não,0.04026680812239647,0.9261565208435059,0.033576689660549164
silvaninasciment86,quanta crueldade!!😳,dinarodriguescost,0,não,0.046526938676834106,0.9012406468391418,0.05223243311047554
rejanearte.oficial,🤦‍♀️🤦‍♀️😏Satanás mesmo 🥺,dinarodriguescost,0,não,0.08594134449958801,0.8500800728797913,0.06397862732410431
.rwuined._,as fico mim perguntando como ser humano tem uma coragem dessas pra Fazer isso com sua própria filha,dinarodriguescost,0,não,0.08309514820575714,0.8392084240913391,0.07769644260406494
iaradocarmosilva,nosso coitada 😭😭😭 mdss,,0,não,0.022448180243372917,0.9461705684661865,0.0313812755048275
